Item	Qty.	Total (converted to USD)	Notes	Store
OLED RGB SPI 96x64 0.95i SSD1331 reference display	1	7.43		MiniTech
Generic STM32F103C8T6 dev board, blue pill compat.	1	3.00		MiniTech
Variable resistor 50kOhm B50K-15mm AG2	1	0.29		MiniTech
Handle for variable resistor, plastic, colorful!	1	0.10		MiniTech
Insulated copper wire, 22 AWG, 1 meter	4	1.25	Paranoid that won't have enough, no 20 AWG in stock	MiniTech
Generic solder wire Sn60/Pb40, 2% clean flux, 12g	1	0.84		MiniTech
3D print, PLA, 169 grams, 300 micron, estimate	1	25.00	sus	easy3dprint.com.ua
Hot glue pack	1	1.00		local convenience store
10 20x20 cardboard sheets with 45% activated carbon	1	7.69	sus	pinta.kiev.ua
Noctua NF-A14 5V PWM	1	23.94	sus	tomdom.in.ua
Delivery from MiniTech, estimate	1	4.00		Nova Poshta
Delivery from easy3dprint, estimate	1	4.00		Nova Poshta
Delivery from pinta, estimate	1	4.00		Nova Poshta
Delivery from tomdom, estimate	1	3.00		Nova Poshta
